,,,,,,
"Measure category",Measure_Type,Pre_Main_Heating_Source,"Total Floor Area Band ","Starting Band","Average Treatable Factor","Cost Savings"
"Cavity Wall Insulation",CWI_0.033,N/A,73-97,High_C,0.95,128
"Cavity Wall Insulation",CWI_0.033,N/A,73-97,Low_C,0.95,130.8
"Cavity Wall Insulation",CWI_0.033,N/A,73-97,High_D,0.95,136.6
"Cavity Wall Insulation",CWI_0.033,N/A,73-97,Low_D,0.95,144.2
"Cavity Wall Insulation",CWI_0.033,N/A,73-97,High_E,0.95,156.3
"Cavity Wall Insulation",CWI_0.033,N/A,73-97,Low_E,0.95,170.4
"Cavity Wall Insulation",CWI_0.033,N/A,73-97,High_F,0.95,191.1
"Cavity Wall Insulation",CWI_0.033,N/A,73-97,Low_F,0.95,214.2
"Cavity Wall Insulation",CWI_0.033,N/A,73-97,High_G,0.95,246
"Cavity Wall Insulation",CWI_0.033,N/A,73-97,Low_G,0.95,280.7
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,High_B,0.95,135.2
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,Low_B,0.95,135
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,High_C,0.95,136.5
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,Low_C,0.95,139.5
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,High_D,0.95,145.7
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,Low_D,0.95,153.6
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,High_E,0.95,166.5
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,Low_E,0.95,181.5
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,High_F,0.95,203.4
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,Low_F,0.95,228
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,High_G,0.95,261.7
"Cavity Wall Insulation",CWI_0.027,N/A,73-97,Low_G,0.95,298.5
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,High_B,0.95,16.9
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,Low_B,0.95,16.7
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,High_C,0.95,16.8
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,Low_C,0.95,17.1
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,High_D,0.95,17.9
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,Low_D,0.95,18.9
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,High_E,0.95,20.6
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,Low_E,0.95,22.6
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,High_F,0.95,25.6
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,Low_F,0.95,28.9
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,High_G,0.95,33.6
"Cavity Wall Insulation",PWI_Cavity,N/A,73-97,Low_G,0.95,38.8
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,High_B,0.95,25
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,Low_B,0.95,24.9
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,High_C,0.95,25.1
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,Low_C,0.95,25.6
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,High_D,0.95,26.7
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,Low_D,0.95,28
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,High_E,0.95,30.3
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,Low_E,0.95,33
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,High_F,0.95,36.9
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,Low_F,0.95,41.2
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,High_G,0.95,47.3
"Cavity Wall Insulation",CWI_partial_fill,N/A,73-97,Low_G,0.95,53.9
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,High_B,0.95,135.7
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,Low_B,0.95,135.8
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,High_C,0.95,137.8
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,Low_C,0.95,141.3
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,High_D,0.95,147.9
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,Low_D,0.95,156.3
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,High_E,0.95,169.7
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,Low_E,0.95,185.2
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,High_F,0.95,207.7
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,Low_F,0.95,232.7
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,High_G,0.95,267
"Cavity Wall Insulation",CWI_0.040,N/A,98-199,Low_G,0.95,304.3
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,High_B,0.95,145.9
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,Low_B,0.95,146.1
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,High_C,0.95,148.2
