Floor Area Segment,Starting Band,Finishing Band,Cost Savings
98-199,Low_F,Low_C,1450.9
98-199,Low_F,High_D,1254.4
98-199,Low_F,Low_D,1072
98-199,Low_F,High_E,849.4
98-199,Low_F,Low_E,635.5
98-199,Low_F,High_F,335.1
98-199,High_F,High_A,1585.8
98-199,High_F,Low_A,1585.8
98-199,High_F,High_B,1585.8
98-199,High_F,Low_B,1445.5
98-199,High_F,High_C,1270.1
98-199,High_F,Low_C,1115.8
98-199,High_F,High_D,919.4
98-199,High_F,Low_D,737
98-199,High_F,High_E,514.3
98-199,High_F,Low_E,300.4
98-199,Low_E,High_A,1285.4
98-199,Low_E,Low_A,1285.4
98-199,Low_E,High_B,1285.4
98-199,Low_E,Low_B,1145.1
98-199,Low_E,High_C,969.7
98-199,Low_E,Low_C,815.4
98-199,Low_E,High_D,619
98-199,Low_E,Low_D,436.6
98-199,Low_E,High_E,213.9
98-199,High_E,High_A,1071.5
98-199,High_E,Low_A,1071.5
98-199,High_E,High_B,1071.5
98-199,High_E,Low_B,931.2
98-199,High_E,High_C,755.8
98-199,High_E,Low_C,601.5
98-199,High_E,High_D,405.1
98-199,High_E,Low_D,222.7
98-199,Low_D,High_A,848.8
98-199,Low_D,Low_A,848.8
98-199,Low_D,High_B,848.8
98-199,Low_D,Low_B,708.5
98-199,Low_D,High_C,533.2
98-199,Low_D,Low_C,378.8
98-199,Low_D,High_D,182.4
98-199,High_D,High_A,666.5
98-199,High_D,Low_A,666.5
98-199,High_D,High_B,666.5
98-199,High_D,Low_B,526.1
98-199,High_D,High_C,350.8
98-199,High_D,Low_C,196.4
200+,Low_G,High_A,5220.3
200+,Low_G,Low_A,5220.3
200+,Low_G,High_B,5220.3
200+,Low_G,Low_B,4970.2
200+,Low_G,High_C,4657.6
200+,Low_G,Low_C,4382.5
200+,Low_G,High_D,4032.4
200+,Low_G,Low_D,3707.3
200+,Low_G,High_E,3310.5
200+,Low_G,Low_E,2929.3
200+,Low_G,High_F,2393.8
200+,Low_G,Low_F,1796.6
200+,Low_G,High_G,958.5
200+,High_G,High_A,4261.8
200+,High_G,Low_A,4261.8
200+,High_G,High_B,4261.8
200+,High_G,Low_B,4011.7
200+,High_G,High_C,3699.1
200+,High_G,Low_C,3424.1
200+,High_G,High_D,3074
200+,High_G,Low_D,2748.9
200+,High_G,High_E,2352
200+,High_G,Low_E,1970.8
200+,High_G,High_F,1435.4
200+,High_G,Low_F,838.2
200+,Low_F,High_A,3423.6
200+,Low_F,Low_A,3423.6
200+,Low_F,High_B,3423.6
200+,Low_F,Low_B,3173.6
200+,Low_F,High_C,2861
200+,Low_F,Low_C,2585.9
200+,Low_F,High_D,2235.8
200+,Low_F,Low_D,1910.7
200+,Low_F,High_E,1513.8
200+,Low_F,Low_E,1132.6
200+,Low_F,High_F,597.2
200+,High_F,High_A,2826.4
200+,High_F,Low_A,2826.4
200+,High_F,High_B,2826.4
200+,High_F,Low_B,2576.3
200+,High_F,High_C,2263.8
200+,High_F,Low_C,1988.7
200+,High_F,High_D,1638.6
200+,High_F,Low_D,1313.5
200+,High_F,High_E,916.6
200+,High_F,Low_E,535.4
200+,Low_E,High_A,2291
200+,Low_E,Low_A,2291
200+,Low_E,High_B,2291
200+,Low_E,Low_B,2040.9
200+,Low_E,High_C,1728.3
200+,Low_E,Low_C,1453.3
200+,Low_E,High_D,1103.2
200+,Low_E,Low_D,778.1
200+,Low_E,High_E,381.2
200+,High_E,High_A,1909.8
200+,High_E,Low_A,1909.8
200+,High_E,High_B,1909.8
200+,High_E,Low_B,1659.7
200+,High_E,High_C,1347.1
200+,High_E,Low_C,1072.1
200+,High_E,High_D,722
200+,High_E,Low_D,396.9
200+,Low_D,High_A,1512.9
200+,Low_D,Low_A,1512.9
200+,Low_D,High_B,1512.9
200+,Low_D,Low_B,1262.8
200+,Low_D,High_C,950.3
200+,Low_D,Low_C,675.2
200+,Low_D,High_D,325.1
200+,High_D,High_A,1187.8
200+,High_D,Low_A,1187.8
200+,High_D,High_B,1187.8
200+,High_D,Low_B,937.8
200+,High_D,High_C,625.2
200+,High_D,Low_C,350.1
